date,adm1_name,cum_confirmed_cases,adm0_name,adm1,adm1_pop,cum_confirmed_cases_imputed,hospitalization
3/17/2020,"Guadeloupe",27,"France",1,376879,27,0
2/21/2020,"Guadeloupe",0,"France",1,376879,0,
3/16/2020,"Guadeloupe",18,"France",1,376879,18,0
3/22/2020,"Guadeloupe",58,"France",1,376879,58,3
2/20/2020,"Guadeloupe",0,"France",1,376879,0,
3/8/2020,"Guadeloupe",,"France",1,376879,,0
2/15/2020,"Guadeloupe",0,"France",1,376879,0,
2/23/2020,"Guadeloupe",0,"France",1,376879,0,
2/26/2020,"Guadeloupe",0,"France",1,376879,0,0
2/17/2020,"Guadeloupe",0,"France",1,376879,0,
3/14/2020,"Guadeloupe",3,"France",1,376879,3,0
3/12/2020,"Guadeloupe",0,"France",1,376879,0,0
2/28/2020,"Guadeloupe",0,"France",1,376879,0,0
3/23/2020,"Guadeloupe",62,"France",1,376879,62,4
3/9/2020,"Guadeloupe",,"France",1,376879,,0
2/25/2020,"Guadeloupe",0,"France",1,376879,0,0
3/10/2020,"Guadeloupe",0,"France",1,376879,0,0
3/21/2020,"Guadeloupe",56,"France",1,376879,56,3
2/18/2020,"Guadeloupe",0,"France",1,376879,0,
3/6/2020,"Guadeloupe",0,"France",1,376879,0,0
3/7/2020,"Guadeloupe",0,"France",1,376879,0,0
3/26/2020,"Guadeloupe",,"France",1,376879,,7
3/28/2020,"Guadeloupe",,"France",1,376879,,11
2/16/2020,"Guadeloupe",0,"France",1,376879,0,
3/30/2020,"Guadeloupe",,"France",1,376879,,11
2/22/2020,"Guadeloupe",0,"France",1,376879,0,
3/5/2020,"Guadeloupe",0,"France",1,376879,0,0
2/27/2020,"Guadeloupe",0,"France",1,376879,0,0
3/19/2020,"Guadeloupe",45,"France",1,376879,45,1
2/24/2020,"Guadeloupe",0,"France",1,376879,0,0
3/18/2020,"Guadeloupe",33,"France",1,376879,33,0
3/2/2020,"Guadeloupe",0,"France",1,376879,0,0
3/25/2020,"Guadeloupe",76,"France",1,376879,76,5
3/4/2020,"Guadeloupe",0,"France",1,376879,0,0
3/24/2020,"Guadeloupe",73,"France",1,376879,73,5
2/29/2020,"Guadeloupe",,"France",1,376879,,0
4/6/2020,"Guadeloupe",,"France",1,376879,,16
3/27/2020,"Guadeloupe",,"France",1,376879,,8
4/2/2020,"Guadeloupe",,"France",1,376879,,14
3/29/2020,"Guadeloupe",,"France",1,376879,,11
3/3/2020,"Guadeloupe",0,"France",1,376879,0,0
3/31/2020,"Guadeloupe",,"France",1,376879,,11
3/20/2020,"Guadeloupe",51,"France",1,376879,51,1
3/1/2020,"Guadeloupe",,"France",1,376879,,0
3/11/2020,"Guadeloupe",0,"France",1,376879,0,0
2/19/2020,"Guadeloupe",0,"France",1,376879,0,
