date,adm0_name,adm1_name,cum_confirmed_cases,cum_confirmed_cases_imputed
2020-01-22,USA,Alaska,0,0
2020-01-23,USA,Alaska,0,0
2020-01-24,USA,Alaska,0,0
2020-01-25,USA,Alaska,0,0
2020-01-26,USA,Alaska,0,0
2020-01-27,USA,Alaska,0,0
2020-01-28,USA,Alaska,0,0
2020-01-29,USA,Alaska,0,0
2020-01-30,USA,Alaska,0,0
2020-01-31,USA,Alaska,0,0
2020-02-01,USA,Alaska,0,0
2020-02-02,USA,Alaska,0,0
2020-02-03,USA,Alaska,0,0
2020-02-04,USA,Alaska,0,0
2020-02-05,USA,Alaska,0,0
2020-02-06,USA,Alaska,0,0
2020-02-07,USA,Alaska,0,0
2020-02-08,USA,Alaska,0,0
2020-02-09,USA,Alaska,0,0
2020-02-10,USA,Alaska,0,0
2020-02-11,USA,Alaska,0,0
2020-02-12,USA,Alaska,0,0
2020-02-13,USA,Alaska,0,0
2020-02-14,USA,Alaska,0,0
2020-02-15,USA,Alaska,0,0
2020-02-16,USA,Alaska,0,0
2020-02-17,USA,Alaska,0,0
2020-02-18,USA,Alaska,0,0
2020-02-19,USA,Alaska,0,0
2020-02-20,USA,Alaska,0,0
2020-02-21,USA,Alaska,0,0
2020-02-22,USA,Alaska,0,0
2020-02-23,USA,Alaska,0,0
2020-02-24,USA,Alaska,0,0
2020-02-25,USA,Alaska,0,0
2020-02-26,USA,Alaska,0,0
2020-02-27,USA,Alaska,0,0
2020-02-28,USA,Alaska,0,0
2020-02-29,USA,Alaska,0,0
2020-03-01,USA,Alaska,0,0
2020-03-02,USA,Alaska,0,0
2020-03-03,USA,Alaska,0,0
2020-03-04,USA,Alaska,0,0
2020-03-05,USA,Alaska,0,0
2020-03-06,USA,Alaska,0,0
2020-03-07,USA,Alaska,0,0
2020-03-08,USA,Alaska,0,0
2020-03-09,USA,Alaska,0,0
2020-03-10,USA,Alaska,0,0
2020-03-11,USA,Alaska,0,0
2020-03-12,USA,Alaska,1,1
2020-03-13,USA,Alaska,1,1
2020-03-14,USA,Alaska,1,1
2020-03-15,USA,Alaska,1,1
2020-03-16,USA,Alaska,3,3
2020-03-17,USA,Alaska,6,6
2020-03-18,USA,Alaska,6,6
2020-03-19,USA,Alaska,10,10
2020-03-20,USA,Alaska,16,16
2020-03-21,USA,Alaska,20,20
2020-03-22,USA,Alaska,23,23
2020-03-23,USA,Alaska,37,37
2020-03-24,USA,Alaska,42,42
2020-03-25,USA,Alaska,59,59
